iter	Passed	Remaining
0	137	137049
1	138	69137
2	139	46498
3	141	35137
4	143	28611
5	148	24549
6	149	21230
7	150	18723
8	153	16854
9	154	15286
10	155	14000
11	157	12955
12	162	12325
13	164	11552
14	165	10860
15	166	10257
16	168	9771
17	170	9293
18	176	9112
19	178	8734
20	180	8408
21	181	8086
22	183	7810
23	187	7634
24	189	7395
25	191	7157
26	192	6935
27	194	6755
28	195	6561
29	200	6488
30	202	6324
31	204	6176
32	205	6021
33	207	5893
34	209	5777
35	213	5710
36	214	5585
37	216	5477
38	217	5367
39	219	5261
40	220	5162
41	224	5119
42	226	5033
43	227	4944
44	228	4856
45	230	4775
46	231	4697
47	235	4679
48	238	4625
49	239	4552
50	241	4491
51	242	4425
52	244	4362
53	249	4364
54	251	4319
55	252	4260
56	254	4215
57	256	4159
58	257	4105
59	262	4109
60	264	4072
61	265	4022
62	267	3974
63	268	3932
64	270	3887
65	273	3863
66	274	3828
67	275	3779
68	279	3770
69	281	3743
70	287	3755
71	288	3720
72	290	3682
73	291	3645
74	293	3615
75	295	3591
76	297	3568
77	299	3539
78	300	3506
79	302	3474
80	303	3447
81	305	3421
82	309	3416
83	310	3386
84	311	3353
85	312	3325
86	314	3300
87	315	3273
88	317	3247
89	321	3248
90	322	3226
91	324	3205
92	326	3182
93	327	3158
94	329	3134
95	332	3135
96	334	3114
97	336	3094
98	337	3071
99	339	3052
100	340	3030
101	342	3014
102	344	3000
103	345	2980
104	348	2968
105	349	2949
106	352	2938
107	358	2957
108	359	2939
109	360	2920
110	362	2901
111	363	2881
112	366	2877
113	368	2863
114	370	2848
115	371	2827
116	372	2810
117	374	2799
118	375	2780
119	382	2802
120	384	2796
121	386	2780
122	387	2761
123	388	2745
124	391	2737
125	393	2726
126	394	2711
127	395	2695
128	397	2680
129	398	2666
130	400	2656
131	405	2663
132	407	2653
133	408	2639
134	409	2625
135	411	2611
136	412	2599
137	414	2590
138	418	2592
139	419	2578
140	421	2570
141	423	2557
142	425	2547
143	426	2535
144	430	2536
145	431	2525
146	433	2513
147	434	2501
148	436	2494
149	438	2482
150	442	2488
151	444	2479
152	445	2468
153	447	2456
154	448	2445
155	450	2435
156	452	2430
157	455	2424
158	456	2413
159	459	2410
160	461	2402
161	462	2392
162	467	2401
163	469	2392
164	470	2382
165	472	2372
166	474	2365
167	475	2355
168	479	2359
169	481	2351
170	483	2342
171	484	2333
172	486	2327
173	488	2317
174	492	2324
175	494	2315
176	496	2306
177	497	2298
178	499	2289
179	500	2279
180	501	2268
181	504	2267
182	506	2261
183	508	2254
184	509	2245
185	511	2237
186	512	2228
187	516	2232
188	518	2226
189	520	2217
190	521	2209
191	523	2203
192	524	2195
193	527	2191
194	529	2187
195	531	2178
196	533	2173
197	534	2165
198	536	2159
199	537	2150
200	542	2157
201	544	2152
202	546	2143
203	548	2138
204	549	2131
205	550	2123
206	553	2121
207	555	2115
208	557	2108
209	558	2100
210	559	2093
211	561	2087
212	566	2092
213	567	2084
214	569	2078
215	570	2071
216	572	2064
217	574	2059
218	580	2070
219	582	2066
220	584	2058
221	586	2054
222	590	2055
223	591	2050
224	593	2043
225	595	2039
226	596	2032
227	598	2026
228	601	2024
229	603	2019
230	604	2012
231	606	2006
232	607	2000
233	608	1993
234	612	1993
235	615	1992
236	617	1986
237	618	1979
238	619	1973
239	621	1968
240	624	1968
241	627	1964
242	628	1957
243	629	1951
244	631	1944
245	633	1940
246	635	1937
247	637	1934
248	639	1927
249	641	1923
250	642	1917
251	644	1911
252	645	1906
253	650	1911
254	652	1905
255	653	1899
256	655	1893
257	656	1887
258	657	1881
259	660	1878
260	662	1874
261	663	1868
262	665	1865
263	667	1860
264	668	1854
265	670	1849
266	674	1850
267	675	1845
268	677	1839
269	679	1837
270	681	1832
271	685	1835
272	687	1831
273	689	1826
274	691	1823
275	692	1817
276	694	1812
277	698	1814
278	700	1811
279	702	1806
280	703	1800
281	705	1795
282	706	1790
283	708	1787
284	711	1784
285	712	1779
286	714	1773
287	715	1768
288	716	1763
289	718	1757
290	721	1757
291	722	1752
292	724	1747
293	725	1743
294	727	1739
295	728	1733
296	733	1735
297	735	1732
298	736	1727
299	738	1722
300	739	1718
301	741	1713
302	743	1710
303	745	1707
304	746	1702
305	749	1699
306	750	1694
307	752	1690
308	757	1694
309	759	1689
310	760	1685
311	761	1680
312	763	1675
313	764	1670
314	769	1674
315	771	1670
316	773	1665
317	774	1660
318	776	1657
319	777	1652
320	780	1650
321	782	1646
322	783	1641
323	784	1636
324	785	1632
325	787	1627
326	788	1622
327	793	1625
328	795	1621
329	796	1617
330	797	1612
331	799	1609
332	801	1604
333	806	1607
334	807	1602
335	809	1599
336	810	1594
337	812	1590
338	813	1586
339	818	1589
340	820	1585
341	821	1580
342	823	1576
343	824	1572
344	826	1568
345	830	1568
346	831	1565
347	833	1561
348	834	1556
349	836	1552
350	838	1549
351	841	1549
352	843	1545
353	844	1541
354	846	1537
355	847	1532
356	848	1529
357	853	1530
358	855	1526
359	856	1522
360	858	1518
361	903	1591
362	906	1590
363	908	1588
364	910	1584
365	937	1623
366	938	1619
367	941	1616
368	943	1614
369	945	1610
370	947	1605
371	948	1601
372	950	1597
373	951	1592
374	955	1592
375	958	1589
376	959	1586
377	961	1581
378	962	1576
379	968	1580
380	970	1577
381	972	1572
382	973	1568
383	975	1564
384	976	1560
385	981	1560
386	982	1556
387	984	1552
388	985	1547
389	987	1544
390	989	1540
391	993	1540
392	994	1536
393	996	1531
394	997	1527
395	999	1524
396	1001	1520
397	1006	1522
398	1008	1519
399	1010	1515
400	1012	1511
401	1013	1508
402	1017	1506
403	1019	1504
404	1021	1500
405	1022	1496
406	1024	1492
407	1026	1489
408	1029	1487
409	1031	1484
410	1033	1480
411	1035	1477
412	1037	1474
413	1039	1470
414	1045	1473
415	1046	1469
416	1048	1465
417	1050	1462
418	1051	1458
419	1053	1454
420	1056	1453
421	1058	1449
422	1060	1446
423	1062	1442
424	1063	1438
425	1064	1434
426	1069	1434
427	1071	1431
428	1072	1427
429	1074	1424
430	1076	1420
431	1077	1416
432	1081	1416
433	1084	1414
434	1085	1410
435	1086	1406
436	1088	1402
437	1090	1398
438	1092	1395
439	1094	1393
440	1096	1389
441	1098	1386
442	1099	1382
443	1100	1378
444	1102	1375
445	1107	1375
446	1109	1372
447	1110	1368
448	1111	1364
449	1113	1360
450	1114	1356
451	1118	1356
452	1121	1353
453	1122	1349
454	1123	1345
455	1125	1342
456	1126	1338
457	1130	1337
458	1132	1334
459	1133	1330
460	1135	1327
461	1136	1323
462	1138	1320
463	1141	1318
464	1143	1315
465	1144	1311
466	1146	1308
467	1148	1305
468	1149	1301
469	1154	1302
470	1156	1298
471	1157	1294
472	1159	1292
473	1160	1288
474	1162	1284
475	1168	1285
476	1170	1283
477	1172	1280
478	1173	1276
479	1176	1274
480	1178	1271
481	1179	1267
482	1180	1263
483	1182	1260
484	1183	1256
485	1184	1252
486	1189	1253
487	1192	1250
488	1193	1247
489	1194	1243
490	1197	1240
491	1198	1237
492	1202	1237
493	1204	1234
494	1206	1230
495	1207	1226
496	1209	1224
497	1210	1220
498	1214	1219
499	1216	1216
500	1218	1213
501	1219	1209
502	1221	1206
503	1222	1203
504	1224	1200
505	1228	1199
506	1229	1195
507	1231	1192
508	1232	1189
509	1234	1186
510	1236	1182
511	1239	1181
512	1241	1178
513	1242	1175
514	1244	1171
515	1246	1168
516	1247	1165
517	1250	1163
518	1251	1160
519	1253	1156
520	1254	1153
521	1256	1150
522	1257	1146
523	1260	1144
524	1263	1143
525	1265	1140
526	1266	1137
527	1270	1135
528	1271	1132
529	1275	1130
530	1277	1128
531	1279	1125
532	1281	1122
533	1282	1119
534	1284	1116
535	1288	1115
536	1291	1113
537	1292	1110
538	1294	1106
539	1295	1103
540	1297	1100
541	1299	1097
542	1301	1095
543	1303	1092
544	1306	1090
545	1307	1087
546	1309	1084
547	1314	1083
548	1315	1081
549	1317	1078
550	1320	1075
551	1321	1072
552	1322	1069
553	1326	1067
554	1328	1064
555	1329	1061
556	1331	1058
557	1332	1055
558	1334	1052
559	1338	1051
560	1340	1048
561	1341	1045
562	1343	1042
563	1344	1039
564	1345	1036
565	1350	1035
566	1351	1032
567	1353	1029
568	1354	1026
569	1355	1022
570	1357	1019
571	1362	1019
572	1363	1016
573	1364	1012
574	1366	1009
575	1368	1007
576	1370	1004
577	1373	1003
578	1379	1003
579	1383	1001
580	1385	999
581	1387	996
582	1388	993
583	1390	990
584	1391	987
585	1396	986
586	1399	984
587	1400	981
588	1402	978
589	1403	975
590	1404	972
591	1408	970
592	1411	968
593	1413	965
594	1414	962
595	1416	960
596	1422	960
597	1424	957
598	1426	954
599	1428	952
600	1429	948
601	1433	947
602	1436	945
603	1437	942
604	1439	939
605	1440	936
606	1442	933
607	1446	932
608	1448	930
609	1450	927
610	1454	926
611	1460	926
612	1462	923
613	1463	920
614	1466	917
615	1467	914
