iter	Passed	Remaining
0	2	2075
1	3	1950
2	5	1886
3	7	1846
4	9	1836
5	11	1833
6	13	1851
7	17	2117
8	18	2062
9	20	2010
10	22	1993
11	24	1986
12	26	1979
13	27	1955
14	29	1952
15	32	2001
16	34	2004
17	36	1995
18	38	1995
19	43	2107
20	64	3009
21	71	3171
22	74	3154
23	79	3218
24	80	3149
25	83	3145
26	85	3085
27	87	3030
28	88	2977
29	90	2929
30	92	2881
31	95	2897
32	99	2904
33	102	2921
34	106	2933
35	116	3131
36	118	3087
37	120	3043
38	121	3003
39	124	2994
40	126	2956
41	128	2921
42	129	2887
43	131	2854
44	133	2825
45	135	2819
46	139	2826
47	141	2798
48	143	2778
49	144	2751
50	146	2726
51	148	2708
52	151	2699
53	154	2700
54	156	2682
55	158	2668
56	159	2646
57	161	2624
58	164	2615
59	166	2605
60	168	2592
61	170	2575
62	171	2556
63	175	2560
64	178	2565
65	184	2607
66	188	2628
67	190	2616
68	194	2619
69	201	2674
70	204	2670
71	207	2674
72	210	2670
73	214	2686
74	218	2694
75	221	2693
76	226	2710
77	232	2749
78	235	2746
79	237	2736
80	239	2721
81	241	2706
82	244	2695
83	245	2678
84	247	2663
85	249	2648
86	251	2635
87	253	2622
88	255	2610
89	257	2599
90	260	2597
91	261	2584
92	264	2577
93	266	2566
94	268	2553
95	269	2541
96	271	2529
97	274	2531
98	276	2519
99	278	2509
100	280	2499
101	282	2487
102	284	2475
103	285	2462
104	288	2462
105	290	2453
106	292	2444
107	294	2434
108	296	2423
109	298	2413
110	300	2403
111	305	2418
112	306	2409
113	308	2398
114	310	2389
115	312	2380
116	313	2366
117	315	2358
118	317	2350
119	322	2366
120	326	2371
121	328	2365
122	332	2369
123	335	2369
124	339	2376
125	341	2366
126	342	2355
127	344	2347
128	348	2353
129	350	2346
130	352	2340
131	354	2331
132	356	2324
133	359	2323
134	367	2352
135	368	2342
136	370	2334
137	375	2348
138	384	2381
139	386	2371
140	388	2368
141	389	2354
142	391	2345
143	395	2351
144	397	2344
145	399	2339
146	401	2332
147	403	2324
148	405	2318
149	411	2330
150	415	2336
151	417	2329
152	419	2322
153	421	2314
154	427	2332
155	431	2335
156	435	2340
157	438	2338
158	440	2330
159	443	2327
160	444	2318
161	446	2311
162	460	2364
163	462	2358
164	464	2352
165	466	2343
166	467	2334
167	477	2362
168	481	2366
169	485	2369
170	487	2363
171	491	2364
172	494	2365
173	497	2363
174	501	2365
175	503	2356
176	505	2348
177	507	2342
178	509	2335
179	511	2330
180	513	2322
181	518	2328
182	520	2325
183	522	2318
184	524	2310
185	526	2303
186	527	2294
187	531	2293
188	532	2286
189	534	2279
190	538	2279
191	540	2274
192	542	2266
193	547	2274
194	555	2294
195	559	2296
196	562	2294
197	565	2292
198	567	2283
199	568	2274
200	570	2266
201	571	2257
202	574	2254
203	575	2246
204	577	2238
205	578	2229
206	579	2221
207	581	2212
208	582	2204
209	584	2197
210	585	2190
211	586	2181
212	590	2180
213	591	2172
214	592	2164
215	594	2157
216	595	2149
217	597	2141
218	598	2133
219	599	2125
220	600	2117
221	604	2118
222	606	2113
223	608	2109
224	610	2102
225	611	2095
226	612	2087
227	614	2080
228	615	2072
229	616	2065
230	618	2058
231	619	2051
232	620	2044
233	622	2037
234	623	2030
235	625	2023
236	627	2018
237	628	2011
238	629	2004
239	632	2002
240	633	1995
241	634	1988
242	636	1982
243	637	1975
244	638	1968
245	640	1962
246	641	1955
247	642	1949
248	644	1942
249	646	1940
250	647	1933
251	649	1926
252	650	1920
253	651	1914
254	652	1907
255	654	1901
256	655	1895
257	657	1889
258	658	1883
259	661	1882
260	662	1876
261	664	1870
262	665	1865
263	666	1858
264	668	1852
265	669	1846
266	670	1840
267	671	1835
268	673	1829
269	675	1826
270	676	1821
271	678	1815
272	679	1809
273	681	1804
274	682	1799
275	684	1794
276	685	1789
277	686	1783
278	689	1782
279	692	1780
280	693	1775
281	695	1770
282	696	1764
283	698	1760
284	699	1755
285	701	1751
286	706	1754
287	708	1751
288	710	1748
289	713	1747
290	716	1746
291	718	1742
292	720	1738
293	722	1734
294	724	1730
295	726	1727
296	728	1723
297	730	1720
298	732	1716
299	734	1714
300	736	1710
301	739	1709
302	747	1720
303	751	1720
304	753	1717
305	755	1713
306	757	1710
307	761	1709
308	762	1705
309	764	1701
310	766	1697
311	767	1692
312	769	1688
313	771	1684
314	774	1684
315	776	1680
316	778	1676
317	779	1672
318	781	1668
319	783	1665
320	785	1661
321	787	1658
322	791	1659
323	794	1657
324	796	1653
325	798	1649
326	802	1651
327	805	1650
328	807	1646
329	809	1643
330	811	1639
331	813	1637
332	815	1634
333	817	1630
334	821	1630
335	823	1627
336	825	1624
337	827	1621
338	829	1617
339	831	1613
340	833	1609
341	836	1609
342	838	1606
343	841	1603
344	842	1600
345	844	1596
346	847	1595
347	851	1594
348	853	1592
349	855	1588
350	857	1585
351	859	1581
352	861	1578
353	863	1576
354	865	1572
355	867	1568
356	869	1565
357	871	1562
358	872	1558
359	874	1555
360	876	1552
361	879	1550
362	881	1547
363	884	1544
364	885	1541
365	888	1538
366	890	1535
367	895	1537
368	897	1535
369	899	1532
370	901	1528
371	903	1525
372	905	1522
373	908	1521
374	910	1517
375	913	1515
376	915	1513
377	931	1532
378	933	1530
379	935	1526
380	937	1523
381	941	1523
382	943	1520
383	945	1517
384	947	1513
385	949	1510
386	951	1507
387	952	1503
388	956	1501
389	957	1497
390	967	1507
391	970	1505
392	976	1508
393	980	1507
394	981	1503
395	983	1499
396	986	1498
397	989	1496
398	990	1492
399	992	1488
400	995	1486
401	996	1483
402	998	1479
403	1004	1481
404	1005	1477
405	1007	1474
406	1009	1470
407	1011	1467
408	1013	1464
409	1016	1462
410	1020	1462
411	1021	1458
412	1023	1454
413	1025	1450
414	1026	1447
415	1028	1443
416	1031	1442
417	1033	1439
418	1035	1436
419	1038	1433
420	1040	1430
421	1041	1427
422	1043	1423
423	1046	1421
424	1049	1420
425	1051	1416
426	1052	1412
427	1053	1408
428	1054	1404
429	1056	1400
430	1058	1397
431	1061	1395
432	1062	1391
433	1067	1392
434	1069	1388
435	1071	1385
436	1073	1382
437	1076	1381
438	1078	1377
439	1079	1373
440	1080	1369
441	1082	1365
442	1084	1363
443	1086	1360
444	1087	1356
445	1090	1354
446	1091	1350
447	1092	1346
448	1094	1342
449	1095	1339
450	1096	1335
451	1098	1331
452	1099	1327
453	1101	1324
454	1104	1322
455	1111	1326
456	1113	1322
457	1114	1319
458	1116	1315
459	1117	1311
460	1118	1307
461	1119	1304
462	1121	1300
463	1122	1296
464	1124	1293
465	1125	1289
466	1127	1286
467	1128	1282
468	1130	1279
469	1133	1277
470	1134	1274
471	1135	1270
472	1137	1267
473	1138	1263
474	1139	1259
475	1141	1256
476	1142	1252
477	1144	1249
478	1146	1247
479	1148	1244
480	1150	1241
481	1153	1239
482	1154	1235
483	1155	1232
484	1157	1228
485	1158	1225
486	1159	1221
487	1162	1219
488	1163	1215
489	1164	1212
490	1166	1208
491	1167	1205
492	1168	1201
493	1170	1198
494	1171	1195
495	1172	1191
496	1173	1188
497	1176	1185
498	1177	1182
499	1179	1179
500	1180	1175
501	1182	1172
502	1183	1169
503	1184	1166
504	1186	1162
505	1187	1159
506	1188	1155
507	1191	1153
508	1192	1150
509	1193	1147
510	1195	1143
511	1196	1140
512	1198	1137
513	1199	1133
514	1200	1130
515	1201	1127
516	1203	1124
517	1206	1122
518	1208	1120
519	1211	1118
520	1213	1115
521	1214	1112
522	1216	1109
523	1219	1107
524	1221	1104
525	1222	1101
526	1223	1098
527	1225	1095
528	1226	1092
529	1227	1088
530	1229	1085
531	1230	1082
532	1231	1079
533	1233	1076
534	1234	1073
535	1235	1069
536	1237	1066
537	1238	1063
538	1239	1060
539	1241	1057
540	1242	1054
541	1243	1051
542	1245	1048
543	1248	1046
544	1250	1043
545	1252	1041
546	1253	1038
547	1255	1035
548	1256	1032
549	1258	1029
550	1259	1026
551	1262	1024
552	1263	1021
553	1264	1018
554	1267	1016
555	1269	1013
556	1270	1010
557	1271	1007
558	1273	1004
559	1274	1001
560	1277	999
561	1278	996
562	1279	993
563	1281	990
564	1282	987
565	1287	986
566	1296	989
567	1301	989
568	1307	990
569	1312	990
570	1317	990
571	1324	991
572	1326	988
573	1332	988
574	1336	987
575	1341	987
576	1347	987
577	1348	984
578	1401	1019
579	1404	1017
580	1408	1015
581	1429	1026
582	1444	1033
583	1446	1030
584	1486	1054
585	1488	1051
586	1489	1047
587	1492	1045
588	1494	1042
589	1496	1039
590	1499	1037
591	1501	1034
592	1503	1031
593	1504	1028
594	1507	1026
595	1508	1022
596	1510	1019
597	1511	1016
598	1512	1012
599	1514	1009
600	1515	1006
601	1516	1002
602	1518	999
603	1519	996
604	1521	993
605	1523	990
606	1524	987
607	1526	984
608	1527	980
609	1528	977
610	1530	974
611	1531	970
612	1532	967
613	1534	964
614	1536	962
615	1538	958
616	1539	955
617	1540	952
618	1542	949
619	1543	946
620	1545	942
621	1546	939
622	1547	936
623	1548	933
624	1551	930
625	1552	927
626	1554	924
627	1555	921
628	1556	918
629	1558	915
630	1559	911
631	1560	908
632	1562	905
633	1563	902
634	1565	900
635	1567	896
636	1568	893
637	1569	890
638	1571	887
639	1572	884
640	1573	881
641	1575	878
642	1576	875
643	1577	872
644	1580	870
645	1582	867
646	1584	864
647	1586	861
648	1587	858
649	1589	855
650	1590	852
651	1591	849
652	1594	847
653	1595	844
654	1596	841
655	1598	838
656	1599	835
657	1600	832
658	1602	829
659	1603	825
660	1604	822
661	1606	820
662	1607	817
663	1609	814
664	1610	811
665	1611	808
666	1613	805
667	1614	802
668	1615	799
669	1617	796
670	1618	793
671	1619	790
672	1623	788
673	1625	786
674	1626	783
675	1627	780
676	1629	777
677	1630	774
678	1631	771
679	1633	768
680	1634	765
681	1635	762
682	1637	760
683	1641	758
684	1644	756
685	1646	753
686	1648	750
687	1649	748
688	1650	745
689	1653	742
690	1655	740
691	1657	737
692	1658	734
693	1659	731
694	1660	728
695	1662	726
696	1663	723
697	1666	721
698	1667	718
699	1669	715
700	1670	712
701	1672	709
702	1673	707
703	1674	704
704	1676	701
705	1677	698
706	1678	695
707	1680	693
708	1683	690
709	1685	688
710	1686	685
711	1687	682
712	1689	679
713	1690	677
714	1691	674
715	1694	671
716	1695	669
717	1696	666
718	1697	663
719	1699	660
720	1700	658
721	1702	655
722	1703	652
723	1704	649
724	1706	647
725	1707	644
726	1708	641
727	1710	638
728	1711	636
729	1712	633
730	1713	630
731	1715	627
732	1717	625
733	1720	623
734	1723	621
735	1725	618
736	1726	616
737	1727	613
738	1729	610
739	1730	607
740	1731	605
741	1733	602
742	1734	599
743	1736	597
744	1737	594
745	1738	591
746	1739	589
747	1741	586
748	1742	584
749	1744	581
750	1745	578
751	1746	576
752	1749	573
753	1750	571
754	1752	568
755	1753	565
756	1754	563
757	1755	560
758	1757	557
759	1758	555
760	1759	552
761	1761	550
762	1764	548
763	1766	545
764	1768	543
765	1769	540
